% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
1372	1	1	1	0	28	2292	0	1	1
1374	1	1	1	0	28	2292	0	1	1
1377	1	1	1	0	28	2292	0	1	1
1379	1	1	1	0	28	2292	0	1	1
1381	1	1	1	0	28	2292	0	1	1
1383	1	1	1	0	28	2292	0	1	1
1386	1	1	1	0	28	2292	0	1	1
1388	1	1	1	0	28	2292	0	1	1
1392	1	1	1	0	28	2292	0	1	1
1394	1	1	1	0	28	2292	0	1	1
1395	1	1	1	0	28	2292	0	1	1
1398	1	1	1	0	28	2292	0	1	1
1400	1	1	1	0	28	2292	0	1	1
1402	1	1	1	0	28	2292	0	1	1
1404	1	1	1	0	28	2292	0	1	1
1406	1	1	1	0	28	2292	0	1	1
1408	1	1	1	0	28	2292	0	1	1
1411	1	1	1	0	28	2292	0	1	1
1413	1	1	1	0	28	2292	0	1	1
1415	1	1	1	0	28	2292	0	1	1
1418	1	1	1	0	28	2292	0	1	1
1420	1	1	1	0	28	2292	0	1	1
1421	1	1	1	0	28	2292	0	1	1
1423	1	1	1	0	28	2292	0	1	1
1425	1	1	1	0	28	2292	0	1	1
1427	1	1	1	0	28	2292	0	1	1
1431	1	1	1	0	28	2292	0	1	1
1433	1	1	1	0	28	2292	0	1	1
1434	1	1	1	0	28	2292	0	1	1
1437	1	1	1	0	28	2292	0	1	1
1439	1	1	1	0	28	2292	0	1	1
1441	1	1	1	0	28	2292	0	1	1
1443	1	1	1	0	28	2292	0	1	1
1445	1	1	1	0	28	2292	0	1	1
1448	1	1	1	0	28	2292	0	1	1
1450	1	1	1	0	28	2292	0	1	1
1452	1	1	1	0	28	2292	0	1	1
1454	1	1	1	0	28	2292	0	1	1
1457	1	1	1	0	28	2292	0	1	1
1460	1	1	1	0	28	2292	0	1	1
1462	1	1	1	0	28	2292	0	1	1
1463	1	1	1	0	28	2292	0	1	1
1464	1	1	1	0	28	2292	0	1	1
1466	1	1	1	0	28	2292	0	1	1
1468	1	1	1	0	28	2292	0	1	1
1471	1	1	1	0	28	2292	0	1	1
1473	1	1	1	0	28	2292	0	1	1
1475	1	1	1	0	28	2292	0	1	1
1478	1	1	1	0	28	2292	0	1	1
1480	1	1	1	0	28	2292	0	1	1
1482	1	1	1	0	28	2292	0	1	1
1483	1	1	1	0	28	2292	0	1	1
1485	1	1	1	0	28	2292	0	1	1
1487	1	1	1	0	28	2292	0	1	1
1489	1	1	1	0	28	2292	0	1	1
1491	1	1	1	0	28	2292	0	1	1
1493	1	1	1	0	28	2292	0	1	1
1495	1	1	1	0	28	2292	0	1	1
1497	1	1	1	0	28	2292	0	1	1
1499	1	1	1	0	28	2292	0	1	1
1501	1	1	1	0	28	2292	0	1	1
1503	1	1	1	0	28	2292	0	1	1
1505	1	1	1	0	28	2292	0	1	1
1507	1	1	1	0	28	2292	0	1	1
1510	1	1	1	0	28	2292	0	1	1
1512	1	1	1	0	28	2292	0	1	1
1514	1	1	1	0	28	2292	0	1	1
1517	1	1	1	0	28	2292	0	1	1
1519	1	1	1	0	28	2292	0	1	1
1521	1	1	1	0	28	2292	0	1	1
1522	1	1	1	0	28	2292	0	1	1
1524	1	1	1	0	28	2292	0	1	1
